OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1406,431,0,431,2,6969599.83789063,10559.9998773336
1407,1480,0,1480,3,6969599.83813477,10559.9998773336
1408,2102,0,2102,4,6969599.83813477,10559.9998773336
1409,2700,0,2700,3,6969599.83813477,10559.9998773336
1410,1595,0,1595,3,6969599.8380127,10559.9998773336
1411,1761,0,1761,2,6969599.8380127,10559.9998773336
1412,2215,0,2215,3,6969599.83813477,10559.9998773336
1413,1080,0,1080,5,6969599.83813477,10559.9998773336
1414,1431,0,1431,4,6969599.83813477,10559.9998773336
1415,2860,0,2860,4,6969599.8380127,10559.9998773336
1416,3452,0,3452,5,6969599.83813477,10559.9998773336
1417,2873,0,2873,4,6969599.83813477,10559.9998773336
1418,2174,0,2174,1,6969600.70422363,10560.0005335212
1419,1601,0,1601,4,6969599.8380127,10559.9998773336
1420,257,0,257,3,6969599.83813477,10559.9998773336
1421,1143,0,1143,4,6969599.8380127,10559.9998773336
1422,1442,0,1442,3,6969599.8380127,10559.9998773336
1423,3964,0,3964,2,6969599.8380127,10559.9998773336
1424,3032,0,3032,4,6969599.8380127,10559.9998773336
1425,2120,0,2120,3,6969599.83813477,10559.9998773336
1426,839,0,839,4,6969600.70410156,10560.0005335212
1427,380,0,380,4,6969599.83825684,10559.9998773336
1428,797,0,797,2,6969599.83813477,10559.9998773336
1429,1653,0,1653,3,6969599.83813477,10559.9998773336
1430,1166,0,1166,3,6969600.70410156,10560.0005334914
1431,614,0,614,4,6969599.83813477,10559.9998773336
1432,825,0,825,1,6969599.83813477,10559.9998773336
1433,3152,0,3152,4,6969599.83813477,10559.9998773336
1434,1312,0,1312,3,6969599.83813477,10559.9998773336
1435,762,0,762,3,6969599.8380127,10559.9998773336
1436,1621,0,1621,3,6969599.83813477,10559.9998773336
1437,2101,0,2101,5,6969599.8380127,10559.9998773336
1438,2862,0,2862,4,6969599.8380127,10559.9998773336
1439,2639,0,2639,2,6969599.83813477,10559.9998773336
1440,3444,0,3444,4,6969599.83825684,10559.9998773336
1441,3726,0,3726,2,6969599.8380127,10559.9998773336
1442,3739,0,3739,4,6969600.7043457,10560.0005335212
1443,2214,0,2214,4,6969599.83813477,10559.9998773336
1444,2531,0,2531,3,6969599.8380127,10559.9998773336
1445,881,0,881,4,6969599.8380127,10559.9998773336
1446,263,0,263,4,6969599.83813477,10559.9998773336
1447,2982,0,2982,4,6969599.83813477,10559.9998773336
1448,3106,0,3106,5,6969599.8380127,10559.9998773336
1449,1662,0,1662,4,6969600.70422363,10560.0005334914
1450,1109,0,1109,2,6969599.8380127,10559.9998773336
1451,1614,0,1614,3,6969599.8380127,10559.9998773336
1452,2039,0,2039,2,6969599.83813477,10559.9998773336
1453,3567,0,3567,3,6969599.83813477,10559.9998773336
1454,1881,0,1881,2,6969599.83813477,10559.9998773336
1455,3557,0,3557,2,6969599.83813477,10559.9998773336
1456,1551,0,1551,4,6969600.70422363,10560.0005334914
1457,3553,0,3553,2,6969599.83813477,10559.9998773336
1458,1791,0,1791,2,6969599.8380127,10559.9998773336
1459,3969,0,3969,2,6969599.8380127,10559.9998773336
1460,655,0,655,3,6969600.70422363,10560.0005334914
1461,1752,0,1752,0,6969599.8380127,10559.9998773336
1462,2130,0,2130,4,6969599.8380127,10559.9998773336
1463,2470,0,2470,1,6969599.83813477,10559.9998773336
1464,1414,0,1414,2,6969599.8380127,10559.9998773336
1465,1303,0,1303,5,6969600.7043457,10560.0005335212
1466,2286,0,2286,3,6969599.83813477,10559.9998773336
1467,774,0,774,0,6969599.8380127,10559.9998773336
1468,2001,0,2001,0,6969599.83813477,10559.9998773336
1469,2045,0,2045,5,6969599.83813477,10559.9998773336
1470,3801,0,3801,3,6969599.83813477,10559.9998773336
1471,644,0,644,4,6969600.70422363,10560.0005334914
1472,1536,0,1536,4,6969600.70422363,10560.0005334914
1473,2132,0,2132,4,6969599.8380127,10559.9998773336
1474,3454,0,3454,4,6969599.83813477,10559.9998773336
1475,602,0,602,1,6969599.83825684,10559.9998773336
1476,1872,0,1872,3,6969599.8380127,10559.9998773336
1477,1142,0,1142,5,6969599.8380127,10559.9998773336
1478,1553,0,1553,5,6969600.70422363,10560.0005334914
1479,1921,0,1921,3,6969599.83813477,10559.9998773336
1480,728,0,728,4,6969599.83813477,10559.9998773336
1481,1496,0,1496,5,6969599.83813477,10559.9998773336
1482,2411,0,2411,5,6969599.83813477,10559.9998773336
1483,3330,0,3330,3,6969599.8380127,10559.9998773336
1484,315,0,315,2,6969600.70422363,10560.0005334914
1485,2011,0,2011,5,6969599.83813477,10559.9998773336
1486,1832,0,1832,4,6969599.83813477,10559.9998773336
1487,2587,0,2587,1,6969599.8380127,10559.9998773336
1488,2593,0,2593,3,6969599.83813477,10559.9998773336
1489,2993,0,2993,4,6969599.8380127,10559.9998773336
1490,1993,0,1993,2,6969599.83813477,10559.9998773336
1491,2503,0,2503,4,6969599.83813477,10559.9998773336
1492,2103,0,2103,3,6969599.8380127,10559.9998773336
1493,2759,0,2759,4,6969599.83813477,10559.9998773336
1494,659,0,659,0,6969599.83813477,10559.9998773336
1495,2298,0,2298,3,6969599.83813477,10559.9998773336
1496,1989,0,1989,4,6969600.70422363,10560.0005334914
1497,1181,0,1181,1,6969599.8380127,10559.9998773336
1498,907,0,907,4,6969599.83813477,10559.9998773336
1499,1863,0,1863,2,6969599.8380127,10559.9998773336
1500,2420,0,2420,4,6969599.8380127,10559.9998773336
1501,2986,0,2986,4,6969599.8380127,10559.9998773336
1502,2124,0,2124,3,6969599.83813477,10559.9998773336
1503,2112,0,2112,2,6969599.8380127,10559.9998773336
1504,488,0,488,1,6969599.8380127,10559.9998773336
1505,2005,0,2005,3,6969599.83813477,10559.9998773336
1506,2916,0,2916,4,6969599.8380127,10559.9998773336
1507,1986,0,1986,5,6969599.83825684,10559.9998773336
1508,1774,0,1774,4,6969599.8380127,10559.9998773336
1509,2273,0,2273,3,6969599.83813477,10559.9998773336
1510,2280,0,2280,2,6969599.83813477,10559.9998773336
1511,1013,0,1013,4,6969600.7043457,10560.0005335212
